,price,size,distance,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,rooms_0,rooms_1,rooms_2,rooms_3,rooms_4,bathrooms_1,bathrooms_2,bathrooms_3,exterior_False,exterior_True,municipality,floor,hasLift
46,750.0,46.0,1476,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,706.8571428571429,698.0888888888888,703.8479532163743
47,680.0,55.0,5097,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,706.8571428571429,678.3448275862069,694.7032258064517
48,700.0,50.0,32052,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,698.7258064516129,678.5689655172414,652.9333703515305
49,750.0,35.0,4047,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,706.8571428571429,678.5689655172414,652.9333703515305
50,750.0,66.0,13311,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,719.8490870065782,708.4264705882352,703.8479532163743
51,650.0,65.0,29440,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,705.0909090851166,679.2890450859865,703.8479532163743
52,720.0,133.0,19453,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,671.3019167120681,708.4264705882352,703.8479532163743
53,600.0,50.0,24430,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,661.0901311021613,678.5689655172414,703.8479532163743
54,650.0,61.0,34886,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,707.4327476431317,705.7592592592592,703.8479532163743
55,650.0,65.0,11537,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,719.8490870065782,698.0888888888888,694.7032258064517
56,700.0,45.0,12321,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,706.8571428571429,698.0888888888888,694.7032258064517
57,625.0,62.0,11666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,704.9990685699748,678.3448275862069,694.7032258064517
58,595.0,45.0,4543,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,706.8571428571429,678.3448275862069,694.7032258064517
59,650.0,55.0,10495,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,706.8571428571429,715.6060606060604,703.8479532163743
60,725.0,50.0,7708,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,706.8571428571429,705.7592592592592,703.8479532163743
61,750.0,95.0,28483,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,705.0909090851166,721.788345433657,703.8479532163743
62,700.0,30.0,12049,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,706.8571428571429,708.4264705882352,703.8479532163743
63,700.0,27.0,1391,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,706.8571428571429,698.0888888888888,694.7032258064517
64,650.0,59.0,30562,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,705.0909090851166,708.4264705882352,703.8479532163743
65,550.0,40.0,17750,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,623.7258064516129,698.0888888888888,703.8479532163743
66,650.0,55.0,10296,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,706.8571428571429,715.6060606060604,703.8479532163743
67,750.0,65.0,5580,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,706.8571428571429,678.5689655172414,703.8479532163743
68,725.0,70.0,4117,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,706.8571428571429,678.5689655172414,703.8479532163743
69,700.0,80.0,29460,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,705.0909090851166,708.4264705882352,694.7032258064517
70,650.0,40.0,12224,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,706.8571428571429,678.3448275862069,703.8479532163743
71,695.0,90.0,7729,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,706.8571428571429,678.5689655172414,694.7032258064517
72,750.0,55.0,6017,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,706.8571428571429,678.5689655172414,694.7032258064517
73,650.0,65.0,7559,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,706.8571428571429,678.5689655172414,703.8479532163743
