,price,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,rooms_0,rooms_1,rooms_2,rooms_3,rooms_4,bathrooms_1,bathrooms_2,bathrooms_3,exterior_False,exterior_True,size_standard,distance_standard,municipality_standard,floor_standard,hasLift_standard
62,700.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.5182701280895523,-0.2672143661372424,0.32551814451090866,0.7671780889277882,0.604025855683706
63,700.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.6879641234432312,-1.1283466476799147,0.32551814451090866,0.06833862980017628,-0.25623866340318285
64,650.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1221051603293438,1.228576769929514,0.24586183934677466,0.7671780889277882,0.604025855683706
65,550.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.9526234769106225,0.19340818378532976,-3.4236656873801876,0.06833862980017628,0.604025855683706
66,650.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.10415350014222806,-0.4088511544225027,0.32551814451090866,1.252531525615225,0.604025855683706
67,750.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.46149315103670163,-0.7898888575333342,0.32551814451090866,-1.2512439464726683,0.604025855683706
68,725.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7443164766261664,-0.9080945741684373,0.32551814451090866,-1.2512439464726683,0.604025855683706
69,700.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.309963127805096,1.1395386976589168,0.24586183934677466,0.7671780889277882,-0.25623866340318285
70,650.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.9526234769106225,-0.25307492634835443,0.32551814451090866,-1.2663960811836383,0.604025855683706
71,695.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.8756097789840258,-0.6162565369257903,0.32551814451090866,-1.2512439464726683,-0.25623866340318285
72,750.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.10415350014222806,-0.7545806564605112,0.32551814451090866,-1.2512439464726683,-0.25623866340318285
73,650.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.46149315103670163,-0.62999199272071,0.32551814451090866,-1.2512439464726683,0.604025855683706
