,price,propertyType,size,exterior,rooms,bathrooms,municipality,distance,floor,hasLift
130,580.0,619.8836831878907,54.0,0,705.2307692307693,677.5945945945946,636.4573863636364,39053,670.1111111111111,-1
131,725.0,697.554347826087,50.0,1,682.5166666666667,694.5382165605096,689.1730533221507,23787,679.2586806910215,0
132,750.0,697.554347826087,48.0,1,682.5166666666667,694.5382165605096,705.6331360946746,5085,701.7571428571429,0
133,750.0,697.554347826087,70.0,1,705.2307692307693,694.5382165605096,705.0909090816765,29660,696.1785714285714,0
134,750.0,697.554347826087,49.0,1,682.5166666666667,694.5382165605096,705.6331360946746,8465,721.4573863636364,1
135,730.0,697.554347826087,60.0,1,705.2307692307693,694.5382165605096,705.499971553305,20948,697.9574468085107,0
136,560.0,697.554347826087,26.0,0,682.5166666666667,694.5382165605096,705.6331360946746,625,678.3448275862069,0
137,700.0,689.625,23.0,1,690.8571428571429,694.5382165605096,705.6331360946746,1271,670.1111111111111,-1
138,750.0,697.554347826087,80.0,1,705.2307692307693,694.5382165605096,734.6474178380435,14991,696.1785714285714,1
139,730.0,697.554347826087,70.0,1,705.2307692307693,694.5382165605096,671.0867531052564,18781,697.9574468085107,0
140,730.0,697.554347826087,52.0,1,697.96875,694.5382165605096,705.6331360946746,8827,715.6060606060603,0
141,740.0,697.554347826087,64.0,1,697.96875,694.5382165605096,705.6331360946746,8365,697.9574468085107,0
142,720.0,697.554347826087,65.0,1,697.96875,694.5382165605096,705.6331360946746,7511,696.1785714285714,0
143,720.0,697.554347826087,63.0,1,697.96875,694.5382165605096,693.9090457691647,19731,696.1785714285714,0
144,740.0,697.554347826087,54.0,1,697.96875,694.5382165605096,705.6331360946746,6636,701.7571428571429,1
145,720.0,697.554347826087,52.0,1,697.96875,694.5382165605096,704.998508748505,12695,697.9574468085107,0
146,730.0,697.554347826087,45.0,1,697.96875,694.5382165605096,705.6331360946746,4385,697.9574468085107,0
147,600.0,689.2857224885634,80.0,0,682.5166666666667,694.5382165605096,705.6331360946746,7223,670.1111111111111,-1
148,600.0,689.2857224885634,80.0,0,682.5166666666667,694.5382165605096,705.6331360946746,7141,670.1111111111111,-1
149,725.0,689.2857224885634,71.0,1,697.96875,694.5382165605096,721.1753471553473,23158,701.7571428571429,0
150,675.0,697.554347826087,76.0,1,705.2307692307693,694.5382165605096,670.6797922079181,43485,696.1785714285714,0
151,750.0,697.554347826087,54.0,1,682.5166666666667,694.5382165605096,735.546085805312,15834,697.9574468085107,1
152,750.0,689.2857224885634,79.0,1,697.96875,677.5945945945946,707.4023832481668,34697,701.7571428571429,0
153,700.0,697.554347826087,54.0,1,682.5166666666667,694.5382165605096,705.6331360946746,3354,696.1785714285714,1
154,750.0,697.554347826087,54.0,1,697.96875,694.5382165605096,705.6331360946746,8322,697.9574468085107,0
155,730.0,697.554347826087,48.0,1,697.96875,694.5382165605096,705.6331360946746,6997,697.9574468085107,0
156,650.0,697.554347826087,61.0,1,697.96875,694.5382165605096,705.0909090816765,28605,715.6060606060603,0
157,730.0,697.554347826087,63.0,1,697.96875,694.5382165605096,705.6331360946746,7893,701.7571428571429,0
158,720.0,697.554347826087,50.0,1,697.96875,694.5382165605096,705.6331360946746,7041,696.1785714285714,0
159,720.0,697.554347826087,51.0,1,697.96875,694.5382165605096,705.6331360946746,6973,701.7571428571429,0
160,750.0,697.554347826087,47.0,1,697.96875,694.5382165605096,705.6331360946746,4538,701.7571428571429,0
161,730.0,697.554347826087,50.0,1,697.96875,694.5382165605096,705.6331360946746,7411,697.9574468085107,0
162,730.0,697.554347826087,40.0,1,697.96875,694.5382165605096,705.6331360946746,4201,696.1785714285714,0
163,670.0,697.554347826087,67.0,1,697.96875,694.5382165605096,661.0789132060843,25100,701.7571428571429,1
164,740.0,697.554347826087,52.0,1,697.96875,694.5382165605096,705.6331360946746,4862,697.9574468085107,0
