,price,exterior,rooms,bathrooms,floor,hasLift,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,municipality,size_standard,distance_standard
190,740.0,1,3,1,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,0.46096425407011815,-0.5723537896608744
192,720.0,0,2,1,4.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.044313874803993895,-0.706774138948951
193,650.0,0,1,1,3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-1.4478642327876385,-1.127528245967109
194,650.0,1,2,1,3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,654.092671611573,2.2013666979698376,2.1521134496197223
196,690.0,1,2,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.0909090816765,0.40482223975077236,1.13022724404444
197,750.0,1,0,1,5.0,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746,-1.7847163187037132,-0.9763820769616803
198,725.0,1,1,1,2.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.6618760323167975,-0.4139188460079757
199,620.0,0,1,1,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,671.0867531052564,1.5838045404570338,0.2964681483175395
200,590.0,1,1,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,641.4573863636364,-0.26888193208137706,2.1960762693355145
201,750.0,1,0,1,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,734.6474178380435,1.303094468860305,0.377105013101654
202,720.0,1,0,1,2.0,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746,-1.1671541611909095,-0.7617084826077769
203,700.0,1,2,1,3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,679.8180244407931,1.4153784974989965,2.0377947735699307
204,692.0,1,2,2,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,693.9090457691647,1.4715205118183423,0.33690166662508314
205,670.0,1,2,2,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,693.9090457691647,1.2469524545409592,0.33690166662508314
206,609.0,1,1,1,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.0909090816765,-0.044313874803993895,1.0958549172858452
207,718.0,1,2,2,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,693.9090457691647,1.6399465547763796,0.33690166662508314
208,694.0,1,2,2,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,693.9090457691647,1.3592364831796506,0.33690166662508314
209,658.0,1,2,2,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,693.9090457691647,1.1908104402216133,0.33690166662508314
210,750.0,0,2,1,2.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-1.1671541611909095,-0.9423933699213732
211,723.0,1,2,2,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,693.9090457691647,1.752230583415071,0.33690166662508314
212,728.0,1,2,2,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,693.9090457691647,1.9206566263731086,0.33690166662508314
213,650.0,1,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746,-1.6162902757456759,-0.8426522431665218
214,750.0,0,2,1,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.0909090816765,0.18025418247338923,1.0557282947529318
215,735.0,1,3,1,4.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.499971553305,0.18025418247338923,0.38232224127036935
216,699.0,1,2,1,2.0,0,0.0,0.0,0.0,0.0,1.0,0.0,726.1905331876595,1.1908104402216133,0.9038916102545849
217,725.0,1,3,1,4.0,0,0.0,0.0,0.0,1.0,0.0,0.0,718.2393568954209,0.5732482827088097,0.09882726945561844
218,740.0,1,3,2,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.0909090816765,1.1346684259022675,0.9576750947585471
219,720.0,1,1,1,2.0,1,0.0,0.0,0.0,1.0,0.0,0.0,707.4023832481668,0.9101003686248844,1.4468669595192647
220,750.0,1,3,1,0.5,1,0.0,0.0,0.0,1.0,0.0,0.0,704.998508748505,1.2469524545409592,-0.32031563474573044
221,710.0,1,3,1,4.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.499971553305,0.5171062683894639,0.3594585060604111
222,725.0,1,2,1,3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,0.2925382111120808,-0.6256769305028911
223,750.0,0,1,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.6057340179974517,-0.7843420459867625
224,750.0,1,2,1,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,0.23639619679273502,-0.9776096600602016
227,720.0,0,2,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.49344998935876017,-0.9476873220337462
228,700.0,0,2,1,4.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,0.011828139515351886,-0.5748856798015745
229,750.0,1,2,2,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,721.1753471553473,1.022384397263576,0.6347440159038011
230,610.0,0,0,1,3.0,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746,-1.7285743043843673,-0.8101980149993663
231,740.0,0,2,1,4.0,0,0.0,0.0,0.0,1.0,0.0,0.0,718.2393568954209,-0.26888193208137706,0.1244530666372495
232,715.0,1,2,1,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,726.1905331876595,0.2925382111120808,0.817500449696152
233,550.0,0,2,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,654.092671611573,0.011828139515351886,2.1189687059596483
234,710.0,1,1,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-1.1671541611909095,-1.1192420600520907
235,730.0,1,2,1,2.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.3250239464007228,-0.5992071699410266
236,750.0,1,0,1,8.0,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746,-1.8970003473424049,-1.1152524149818965
237,690.0,0,1,1,3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-1.3355802041489468,-0.8187143727453574
238,740.0,1,3,1,4.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.499971553305,0.9101003686248844,0.45536343563238363
239,750.0,1,1,1,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,705.6331360946746,0.5171062683894639,-0.7884084150006141
240,720.0,0,3,1,2.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.7180180466361433,-0.5928390826174477
241,475.0,1,2,2,2.0,1,0.0,0.0,0.0,1.0,0.0,0.0,583.9573863636364,1.2469524545409592,2.23835116229084
242,740.0,1,2,1,2.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.8864440895941806,-0.8528565276729797
243,740.0,1,1,1,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,0.011828139515351886,-0.9407054431609065
244,740.0,1,2,1,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,726.1905331876595,0.2925382111120808,0.842972798990468
245,700.0,0,2,1,4.0,0,0.0,0.0,0.0,1.0,0.0,0.0,704.998508748505,0.9662423829442303,-0.4567308065689042
246,730.0,0,1,1,2.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-1.2232961755102554,-1.1618238487820465
247,700.0,1,0,1,3.0,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746,-1.6162902757456759,-0.47591179248329873
250,749.0,1,1,1,2.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-1.054870132552218,-0.720968068525603
251,700.0,0,0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746,-1.5040062471069844,-1.0351526178033852
252,667.0,1,1,1,8.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.499971553305,0.7416743256668471,0.40526270042398516
253,725.0,0,1,1,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.6618760323167975,-0.4223584798103093
254,550.0,1,3,1,3.0,0,0.0,0.0,0.0,0.0,1.0,0.0,551.8827731805424,0.7416743256668471,2.4315420524206215
255,695.0,1,3,1,4.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.499971553305,-0.10045588912333968,0.29631470043022434
257,750.0,1,0,1,14.0,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746,-1.3917222184682927,-0.8360539840119701
