,price,size,distance,exterior,rooms,bathrooms,floor,hasLift,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,municipality
333,750.0,90.0,28736,1,3,2,2,1,0.0,0.0,0.0,1.0,0.0,0.0,734.6474178380435
334,750.0,48.0,6832,1,2,1,2,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
335,625.0,57.0,43647,1,2,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,654.092671611573
336,750.0,46.0,16127,1,1,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,735.546085805312
337,695.0,59.0,8595,1,1,1,4,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
338,450.0,40.0,46273,1,1,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,551.8827731805424
339,720.0,58.0,13451,1,2,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,719.8187226116132
340,745.0,73.0,28800,1,2,1,2,1,0.0,0.0,0.0,1.0,0.0,0.0,705.0909090816765
341,720.0,69.6,28624,1,2,1,2,1,0.0,0.0,0.0,1.0,0.0,0.0,705.0909090816765
342,750.0,55.0,7462,1,2,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
343,720.0,48.0,5808,1,0,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
344,725.0,44.0,1140,0,0,1,8,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
345,750.0,80.0,8011,0,2,1,5,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
346,550.0,86.0,47448,1,2,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,621.4573863636364
347,640.0,69.0,29311,1,2,1,2,1,0.0,0.0,0.0,1.0,0.0,0.0,666.4573863636364
348,700.0,54.0,11656,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,704.998508748505
349,700.0,59.0,7529,1,1,1,6,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
350,700.0,75.0,30359,1,2,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,705.0909090816765
351,695.0,62.0,15162,0,2,1,3,0,0.0,0.0,0.0,1.0,0.0,0.0,693.9573863636364
